comment,label
that natural gas money tho,1
best news all day ill wager msm dont pick up on it though,1
qnik tygerlylly thats silly rats dont have wings,1
jpanderson9999 agreed fish and veggies,1
this is what we call a lie,1
didnt want to be there couldnt wait to leave more like it,1
this has to be fake but hope its not,1
please oh please oh please,1
i think they will try to rebrand themselves i guess time will tell,1
that is capital t true,1
or the reverse may happen,1
maybe hell you can count on it,1
startreker1959 lets make this go viral fire his arse,1
1611paul is he still alive,1
joehos18 fire this pos immediately,1
christhrall and i thought i was having a bad day,1
mariannesansum sure it is not the onion,1
mariannesansum shades of moby dick,1
mariannesansum got to love karma,1
mariannesansum donnam8470donna they had it coming,1
luckily im from massachusetts a bastion of sense in an insane country but im still considering renunciation,1
yowsers hows that irish accent coming,1
shout out for pro bono advocate to wipe the floor with the bastards on appeal,1
neither shld be ashamed i stand 4 equality,1
that swamp is massive deep,1
so much for draining the swamp heh,1
so why bring this up it did not happen,1
more bullshit read on folks,1
you mean this made up story you sad gullible child abuse supporter,1
this article is not dated has no author listed and cites no sources i’m going to do more investigation,1
it’s true she rear ended my maybach and sideswiped the batmobile too,1
wow i have always said the truth always emerges it often takes years but in the end it does,1
just buy a new one,1
what kind of insane bs is this,1
wethepeople maga greatawakening thestorm qanon,1
look at those evil eyesnightmare material,1
about time someone comes forward with the truth,1
if this turns out to be true nothing more to say except boom,1
i guess strzok couldn’t make squeal,1
so you got a link or some proof nr egghead profile with 58 followers,1
they are playing with us and we believe or do we,1
i thought it might be,1
fortunately slime molds dont vote,1
and u can add gop 2 heartless if they intend to carry this out,1
where’s hugo chavez when you need him,1
how many deaths are acceptable,1
guess she really was a nasty woman,1
its true she is getting a fat check from we the people,1
you dont like impeaching trump got it have a nice day,1
this is perfect he is finally going to start getting his karma well deserved,1
omgi hope that is true,1
and filed chapter 7 immediately after the announcement,1
snopes silver for rumors only people over 75 believe,1
he makes me shudder with revulsion,1
was he not on his medication,1
oh you aint seen nuthin yetbachmann can outtwist outcrazy anyone …,1
ugh i pity children growing up in these homes,1
the same stuff obummer was,1
sorry i had to retweet this its so absolutely stupidly idiotic sorry i have one more,1
really you even have to ask,1
damnyou are some serious batshit crazy,1
dont do all caps though,1
sounds like a good idea to me,1
thank you that was funny,1
good for her i would have done the same,1
zirkon5 or maybe create a consultancy,1
i just looked it up i remember seeing that i was in my teens but i do remember it,1
that was a good one,1
heard from snopes that it is false,1
this is a hoax jim,1
i’m beginning to distrust the internet,1
he too bad clever israel s jewish first line of defense jewschoosetrump,1
oh well colbert should be next,1
i wish this were true,1
i have grandkids who could do better at age 11,1
that isnt even decent photoshopping wth,1
all this bs right around election time,1
travlr009 just fyi empire herald is satire,1
sure with their dead bodies inside,1
ill get you my pretty and your little dog too,1
karma i am waiting this man obamadeserve the death penalty,1
howdy wed be happy to help reach out to us at,1
wow hope she has 247 protection,1
direct laser beam military style,1
there will be another 42 families wishing that travel ban had been in place sooner,1
should also issue one for obama and clinton,1
the enemy of my enemy is my friend,1
not my pope that devil will get his day,1
she should call her lawyer,1
i wish someone would burp him properly after a feed,1
this drooler is not interested in the truth,1
i am glad you are to admit it have a good day,1
everyone makes mistakes now and then,1
neueweltordnun that is very interesting thankyou,1
rearanging the goodies links of rechtsdragend,1
ill just leave this here,1
oh bolloxgot my hopes up there,1
fortunately for ted you were,1
funny but dems would believe it,1
judge refused to hear case as of 230 est,1
what happens after dec29th if electrols vote for trump does the recount still happen,1
considering everywhere they hv counted trump picks up more votes go ahead maybe theyll see he won popular vote too,1
i dont know its the first time ive seen it,1
3 people have filed a long shot lawsuit doesnt mean a recount will take place,1
yeah you would have thought,1
imo its not the law shes worried about its killary feeling threatened and we all know what happens next,1
this just gets curiouser and curiouser,1
grandma was this winners getaway driver,1
maxine is right after all,1
but but civility and serve us our food,1
god please let it be true,1
i wish i could this would be a early christmas,1
well that would be like a gift to america,1
how many more must there be,1
this guy needs to go,1
he still uses an unsecured galaxys3,1
no no dont ditch carry on please,1
lying is what they do best,1
gerardohgarcia i suspect this is fakenews,1
good good good can we have some of the action,1
only 100000 not good enough,1
okay whatever smart ass i said apparently,1
do they i dont know why i didnt know this,1
dont do that might miss out on pictures like this,1
maybe i should stay away from twitter,1
the 15 seconds of screaming gave it away,1
this seems more in francisbarstool lane,1
i cant find this anywhere on the internet though,1
what is that on his finger,1
i would hook up with him would you,1
so that means this was all trump and the gops fault cnn logic,1
sure cnn won’t report on this,1
thats the standard for influencing a decision is it not,1
joke haha but not much,1
wish we could prove it,1
hope notjust ate some for lunch today,1
well im not catholic but i know what im giving up for lent this year besides christianity,1
im with ya chunklite my arse i prefer chickenofthesea tunarecall,1
hahahaha i was like fuck what are you guys up to over there,1
oh my god thats a scary thought,1
reckless too i wonder if some of these products are already in supermarkets,1
realdonaldtrump must remove everything thats muslim from america,1
any judge who advocates violence must retire immediately,1
i said this exact thing to my wife,1
while in this same site the following reads,1
is god not there is there this the time for us to change,1
where is the evidence that this actually happened fakenews,1
colin and obama built that,1
gee i wonder if they used the clinton crime family assassin,1
hate jealousy in this wh is getting uglyier,1
big amen to that but dont hold your breath,1
i dont believe that either but your site skews left and we all know it,1
any word on epstein islandhrc and all the heads of states pure evil jakedo your job,1
this is a paid promotion,1
yeah i used your words but it was for a good cause thanks,1
these r true facts but now if u go to dearborn michigan they have half of dearborn all store gas,1
good it’s about timewe cannot have anarchy,1
hopefully they start in ca,1
something has to be done to help make us safe,1
gregabbotttx sanctuary sally goes on this list of arrests,1
and twix snickers andgod i bored myself there,1
the egg wants attention followers,1
sugarpop35 wpdevteam that happened during the last depression a sign,1
too bad poor sick children and elderly dont have the means to pay for the same predicament,1
